trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-157.21859868766148,"{0: 13, 1: 6, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-148.1295827249147,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-59.334566757623726,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-108.09524502055034,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-71.02839911774294,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-62.95877241010113,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-91.16529756500661,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-95.66835628112234,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-106.87649824953132,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-85.45509057688636,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-64.20652645219123,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-158.91938467041234,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-139.9548438230217,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,7,-65.52201024511182,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-92.43829492208381,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-35.24301360539582,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-37.840289843041504,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-99.22652764504228,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-143.4179446389672,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-120.76718763533967,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-124.72444530457355,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-172.60184380495497,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-79.04026994652546,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-108.83422705284391,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",35,0,-164.07499645591025,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-94.33539866948738,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-180.37848597238138,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-79.61540350888788,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-123.799426247902,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-51.22741563357251,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
