trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 0.891}",30,0,-292.0116998012733,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 5}",0
2,False,"{'a': 0.15, 'e': 0.88209}",20,0,-42.15565591553519,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.15, 'e': 0.8732691}",30,0,-287.75460997624276,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 5}",0
4,False,"{'a': 0.15, 'e': 0.8645364090000001}",25,0,-46.96606791545689,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.15, 'e': 0.85589104491}",25,0,-21.612966084980375,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.15, 'e': 0.8473321344609}",25,0,-82.24763093255463,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.15, 'e': 0.8388588131162911}",20,0,-239.02418712785112,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 4}",0
8,False,"{'a': 0.15, 'e': 0.8304702249851281}",20,0,-46.01330525063565,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.15, 'e': 0.8221655227352769}",30,10,-70.90948268847869,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.15, 'e': 0.8139438675079241}",25,0,-137.07108083721403,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.15, 'e': 0.8058044288328449}",20,0,-134.99903190658713,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.15, 'e': 0.7977463845445164}",20,0,-40.42921431780645,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.15, 'e': 0.7897689206990712}",25,5,-110.65657500160053,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",1
14,False,"{'a': 0.15, 'e': 0.7818712314920805}",20,0,-61.5785611909513,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.15, 'e': 0.7740525191771597}",20,3,-87.80877075761657,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
16,False,"{'a': 0.15, 'e': 0.7663119939853881}",30,0,-96.24745503356961,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.15, 'e': 0.7586488740455342}",30,0,-123.99415393118306,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.15, 'e': 0.7510623853050789}",20,5,-62.078372622154184,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.15, 'e': 0.7435517614520281}",20,0,-100.85856206930532,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.15, 'e': 0.7361162438375077}",20,0,-59.04484571201606,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.15, 'e': 0.7287550813991327}",30,0,-241.50466460945984,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 5}",0
22,False,"{'a': 0.15, 'e': 0.7214675305851413}",20,0,-63.43054306457287,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.15, 'e': 0.7142528552792899}",20,0,-3.690146527516706,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.15, 'e': 0.707110326726497}",20,0,-42.10066551386961,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.15, 'e': 0.700039223459232}",25,0,-49.060055650232506,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.15, 'e': 0.6930388312246396}",25,0,-70.9302828622442,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.15, 'e': 0.6861084429123933}",25,5,-39.113100469154425,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
28,False,"{'a': 0.15, 'e': 0.6792473584832693}",35,0,-46.92624613465317,"{0: 27, 1: 6, 2: 0, 3: 1, 4: 1}",0
29,False,"{'a': 0.15, 'e': 0.6724548848984366}",25,0,-59.598074412413666,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.15, 'e': 0.6657303360494523}",20,15,11.495117976412905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.15, 'e': 0.6590730326889578}",35,4,-74.00034232275671,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 1}",1
32,False,"{'a': 0.15, 'e': 0.6524823023620682}",25,0,-64.92293278287939,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
33,False,"{'a': 0.15, 'e': 0.6459574793384475}",25,0,-145.14111860051707,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
34,False,"{'a': 0.15, 'e': 0.6394979045450631}",25,11,-11.526414014858407,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.15, 'e': 0.6331029254996124}",30,6,-35.86114603645875,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
