trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.68301305446876,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.82838670901023,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.48517860479411,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,3,-122.1020433754537,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.8500910006153,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,-43.570308810839826,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.90017703372425,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-40.758481359704675,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.2807599888074,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.9199310876154,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.51952533314525,"{0: 18, 1: 7, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.721670979221756,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.3927613232009,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.43523140099985,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,10,-78.35338717061055,"{0: 4, 1: 3, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.68115977879685,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.1006554056342,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.41711852442171,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.35010380692255,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.82314508783777,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.275539562703,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.76008896348952,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.59028982799026,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.58965166313331,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.34667410991673,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.2474625092654,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.67742157338884,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.05664213952542,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.59109894563537,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.32036069756884,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
